date,CO,NO,NOX,NO2,O3,PM10,PM25,RH,SO2,TMP,WDR,WSP,year,month,day,hour,minute,traffic,contingency
13,2024-03-20,0.192592592593,0.006024096386,0.060422960725,0.177570093458,0.625899280576,0.414965986395,0.404761904762,0.269662921348,0.081081081081,0.695652173913,0.1,0.318181818182,2024,0.7,20,0.913043478261,0,0.96,0
14,2024-03-20,0.2,0.003012048193,0.060422960725,0.177570093458,0.784172661871,0.265306122449,0.261904761905,0.247191011236,0.054054054054,0.739130434783,0.477777777778,0.318181818182,2024,0.7,20,1.0,0,0.97,0
15,2024-03-20,0.187654320988,0.0,0.039274924471,0.121495327103,0.805755395683,0.353741496599,0.404761904762,0.23595505618,0.027027027027,0.739130434783,0.383333333333,0.287878787879,2024,0.7,20,0.95652173913,0,0.96,0
16,2024-03-20,0.207407407407,0.003012048193,0.060422960725,0.18691588785,0.661870503597,0.312925170068,0.333333333333,0.258426966292,0.027027027027,0.739130434783,0.438888888889,0.378787878788,2024,0.7,20,0.869565217391,0,0.93,0
17,2024-03-20,0.18024691358,0.012048192771,0.087613293051,0.233644859813,0.474820143885,0.34693877551,0.297619047619,0.292134831461,0.027027027027,0.695652173913,0.261111111111,0.378787878788,2024,0.7,20,0.826086956522,0,0.96,0
18,2024-03-20,0.187654320988,0.027108433735,0.12084592145,0.289719626168,0.302158273381,0.319727891156,0.25,0.292134831461,0.027027027027,0.695652173913,0.225,0.469696969697,2024,0.7,20,0.739130434783,0,0.96,0
19,2024-03-20,0.19012345679,0.030120481928,0.108761329305,0.233644859813,0.215827338129,0.394557823129,0.214285714286,0.23595505618,0.027027027027,0.695652173913,0.780555555556,0.560606060606,2024,0.7,20,0.652173913043,0,0.94,0
20,2024-03-20,0.222222222222,0.045180722892,0.102719033233,0.18691588785,0.107913669065,0.394557823129,0.22619047619,0.191011235955,0.054054054054,0.652173913043,0.727777777778,0.469696969697,2024,0.7,20,0.608695652174,0,0.98,0
21,2024-03-20,0.185185185185,0.036144578313,0.087613293051,0.158878504673,0.10071942446,0.319727891156,0.190476190476,0.224719101124,0.027027027027,0.608695652174,0.713888888889,0.454545454545,2024,0.7,20,0.565217391304,0,0.99,0
22,2024-03-20,0.244444444444,0.045180722892,0.16918429003,0.373831775701,0.043165467626,0.367346938776,0.142857142857,0.314606741573,0.027027027027,0.565217391304,0.088888888889,0.19696969697,2024,0.7,20,0.478260869565,0,1.0,0
